id,email,password,full_name,role,phone,address,license_no,auth_provider,email_verified,is_active,is_staff,is_superuser,date_joined,created_at,updated_at
f59b8123-3743-467f-ab0f-9f8110024214,chhorn.vutha@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Chhorn Vutha,police,010200000,Phnom Penh,,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
1518afdf-297a-49c5-8a7c-7815ce4edfdd,seng.ratanak@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Seng Ratanak,police,010200001,Phnom Penh,,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
c844c4a8-6d0a-412e-8dc1-5b95a246458a,prak.sophea@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Prak Sophea,police,010200002,Phnom Penh,,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
11ed348f-2a58-4cd2-a7b2-a5958c5e5d7a,yin.dara@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Yin Dara,police,010200003,Phnom Penh,,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
d884e21c-1ae5-45e7-bb29-75f795fdd23b,mao.visal@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Mao Visal,police,010200004,Phnom Penh,,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
4f2e09e6-974a-4a8d-a8a5-e9ed582f7696,hun.chenda@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Hun Chenda,police,010200005,Phnom Penh,,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
2f478d31-727d-4bde-917e-8eddbc1630ea,kea.rith@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Kea Rith,police,010200006,Phnom Penh,,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
5c59b020-880c-417f-9fc1-49469032dddd,lay.piseth@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Lay Piseth,police,010200007,Phnom Penh,,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
0ae75c0f-0ee5-429c-9f79-23f74f2a9c64,nget.vibol@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Nget Vibol,police,010200008,Phnom Penh,,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
d56f0fab-d698-4a46-94e2-d27b19375d23,san.sothea@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,San Sothea,police,010200009,Phnom Penh,,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
2a625023-0ba1-43e1-bf86-62868cbc62bf,ty.sokha@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Ty Sokha,police,010200010,Phnom Penh,,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
48ec89e4-b4d7-4a4f-b686-399ee120ae61,khim.vannak@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Khim Vannak,police,010200011,Phnom Penh,,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
8a1c80e8-4133-48a0-92d4-e28698cc0312,rin.sreypov@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Rin Sreypov,police,010200012,Phnom Penh,,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
b99fa557-0462-47e7-a3fa-99c79605099c,phan.veasna@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Phan Veasna,police,010200013,Phnom Penh,,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
78b1912a-dd01-4084-901a-83135e1f41c5,ou.somnang@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Ou Somnang,police,010200014,Phnom Penh,,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
dd5e6a7d-7e1f-4cc3-9ca1-bb4693b722a2,sokunthea.chhay@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Sokunthea Chhay,admin,010200015,Phnom Penh,,email,True,True,True,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
adb79f60-41a3-4386-8ed2-fa31a15a3ee2,borey.lim@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Borey Lim,admin,010200016,Phnom Penh,,email,True,True,True,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
a2c4d5dd-172e-4b86-95c6-b09c83d95c34,dalin.nhem@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Dalin Nhem,admin,010200017,Phnom Penh,,email,True,True,True,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
43b06b92-5c9a-4bb1-89be-ea5ba68bced5,ravy.prum@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Ravy Prum,admin,010200018,Phnom Penh,,email,True,True,True,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
3493b333-9551-47f0-b742-789fbc10b394,malis.eng@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Malis Eng,admin,010200019,Phnom Penh,,email,True,True,True,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
